"FLWS_nasdaq","Florists"
"CERN_nasdaq","Advanced Medical Equipment &amp; Technology - NEC"
"CERS_nasdaq","Medical Devices &amp; Implants"
"CEVA_nasdaq","Semiconductors - NEC"
"CITZ_nasdaq","Banks - NEC"
"CYOU_nasdaq","Internet Gaming"
"HOTR_nasdaq","Commercial Food Services"
"CTHR_nasdaq","Jewelry"
"CHRM_nasdaq","Advertising &amp; Marketing - NEC"
"CACGU_nasdaq","Shell Companies"
"GTLS_nasdaq","Testing &amp; Measuring Equipment"
"CHTR_nasdaq","Broadcasting - NEC"
"CHKP_nasdaq","Application Software"
"CHTP_nasdaq","Bio Therapeutic Drugs"
"CEMI_nasdaq","Diagnostic &amp; Testing Substances Manufacturers"
"CHFC_nasdaq","Commercial Banks"
"CCXI_nasdaq","Biopharmaceuticals"
"CHMG_nasdaq","Banks - NEC"
"CHKE_nasdaq","Branding &amp; Naming"
"CHEV_nasdaq","Banks - NEC"
"CBNK_nasdaq","Commercial Banks"
"CMRX_nasdaq","Bio Therapeutic Drugs"
"CADC_nasdaq","Construction Materials - NEC"
"CALI_nasdaq","Auto Vehicles, Parts &amp; Service Retailers - NEC"
"CAAS_nasdaq","Automotive Systems"
"CBAK_nasdaq","Batteries &amp; Uninterruptable Power supplies"
"CBPO_nasdaq","Bio Therapeutic Drugs"
"CCCL_nasdaq","Flooring &amp; Interior Tile Manufacturers"
"JRJC_nasdaq","Professional Information Services - NEC"
"CHOP_nasdaq","Metallic Rolling &amp; Drawing Products"
"HGSH_nasdaq","Real Estate Development &amp; Operations - NEC"
"CHLN_nasdaq","Residential Real Estate Development"
"CJJD_nasdaq","Drug Retailers - NEC"
"HTHT_nasdaq","Hotels, Motels &amp; Cruise Lines - NEC"
"CMGE_nasdaq","Mobile Application Software"
"CHNR_nasdaq","Coal - NEC"
"CPSL_nasdaq","Iron, Steel Mills &amp; Foundries"
"CREG_nasdaq","Environmental Services &amp; Equipment - NEC"
"CPGI_nasdaq","Paper Packaging - NEC"
"CSUN_nasdaq","Renewable Energy Equipment &amp; Services - NEC"
"CNTF_nasdaq","Wireless Telecom"
"CXDC_nasdaq","Auto, Truck &amp; Motorcycle Parts - NEC"
"CNYD_nasdaq","Broadcasting - NEC"
"CCIH_nasdaq","IT Services &amp; Consulting - NEC"
"CEDU_nasdaq","Personal Services - NEC"
"CNET_nasdaq","IT Services &amp; Consulting - NEC"
"CHDX_nasdaq","Medical Equipment Wholesale"
"IMOS_nasdaq","Semiconductor Equipment &amp; Testing - NEC"
"CHSCP_nasdaq","Flour Milling"
"CHDN_nasdaq","Casinos &amp; Gaming - NEC"
"CHUY_nasdaq","Restaurants &amp; Bars - NEC"
"CHYR_nasdaq","Broadcasting Equipment"
"CIEN_nasdaq","Communications &amp; Networking - NEC"
"CIFC_nasdaq","Investment Management &amp; Fund Operators - NEC"
"CIMT_nasdaq","Software - NEC"
"CINF_nasdaq","Property &amp; Casualty Insurance - NEC"
"CIDM_nasdaq","Entertainment Production - NEC"
"CTAS_nasdaq","Business Support Services - NEC"
"CRUS_nasdaq","Integrated Circuits"
"CISAU_nasdaq","Shell Companies"
"CSCO_nasdaq","Communications &amp; Networking - NEC"
"CTRN_nasdaq","Apparel &amp; Accessories Retailers - NEC"
"CZNC_nasdaq","Banks - NEC"
"CZWI_nasdaq","Banks - NEC"
"CZFC_nasdaq","Banks - NEC"
"CIZN_nasdaq","Banks - NEC"
"CTXS_nasdaq","IT Services &amp; Consulting - NEC"
"CHCO_nasdaq","Banks - NEC"
"CWEI_nasdaq","Oil &amp; Gas Exploration and Production - NEC"
"CDTI_nasdaq","Engine &amp; Powertrain Systems"
"CLNE_nasdaq","Oil &amp; Gas Refining and Marketing - NEC"
"CLNT_nasdaq","Iron, Steel Mills &amp; Foundries"
"CLFD_nasdaq","Glasses, Spectacles &amp; Contact lenses"
"CLRO_nasdaq","Conferencing Tools &amp; Systems"
"CLIR_nasdaq","Industrial Machinery &amp; Equipment - NEC"
"CLWR_nasdaq","Wireless Telecommunications Services - NEC"
"CBLI_nasdaq","Biotechnology &amp; Medical Research - NEC"
"CKSW_nasdaq","Enterprise Software"
"CSBK_nasdaq","Commercial Banks"
"CLVS_nasdaq","Biopharmaceuticals"
"CME_nasdaq","Financial &amp; Commodity Market Operators - NEC"
"CMSB_nasdaq","Banks - NEC"
"CCNE_nasdaq","Banks - NEC"
"CISG_nasdaq","Insurance - Automobile"
"COA_nasdaq","Other Specialty Retailers - NEC"
"COBZ_nasdaq","Banks - NEC"
"COBR_nasdaq","Communications &amp; Networking - NEC"
"COKE_nasdaq","Non-Alcoholic Beverages - NEC"
"CDXS_nasdaq","Biotechnology &amp; Medical Research - NEC"
"CVLY_nasdaq","Banks - NEC"
"JVA_nasdaq","Coffee &amp; Tea"
"CCOI_nasdaq","Internet Service Providers"
"CGNX_nasdaq","Testing &amp; Measuring Equipment"
"CTSH_nasdaq","IT Services &amp; Consulting - NEC"
"COGO_nasdaq","Communications &amp; Networking - NEC"
"COHR_nasdaq","Semiconductors - NEC"
"COHU_nasdaq","Semiconductor Equipment &amp; Testing - NEC"
"CSTR_nasdaq","Consumer Goods Rental"
"CWTR_nasdaq","Women&#39;s Apparel Retailers"
"CCIX_nasdaq","Wires &amp; Cables"
"JACQU_nasdaq","Shell Companies"
"CLRX_nasdaq","Enterprise Software"
"CLCT_nasdaq","Exhibition &amp; Conference Services"
"COBK_nasdaq","Banks - NEC"
"CBAN_nasdaq","Banks - NEC"
"COLB_nasdaq","Commercial Banks"
"CBRX_nasdaq","Pharmaceuticals - NEC"
"COLM_nasdaq","Apparel &amp; Accessories - NEC"
"CMCO_nasdaq","Construction Machinery"
"CBMX_nasdaq","Medical &amp; Diagnostic Laboratories"
"CMCSA_nasdaq","Broadcasting - NEC"
