FloatShares,Ticker,Price,52 week high,52 week low,avg Daily Volume,50 day Moving Average,200 day moving average,price/eps estimate this year,price/eps estimate next year,Short Ratio
938189000,AAPL_nasdaq,418.49,385.1,705.07,15205700,430.14,452.53,10.59,9.6,1.7
4499000,ARCI_nasdaq,2.3,1.1,4.47,53581,2.1817,1.6214,N/A,N/A,N/A
1194198000,AMAT_nasdaq,14.82,9.95,16.09,13903500,15.1006,13.6407,23.16,13.23,1.1
58089000,AMCC_nasdaq,8.6,4.28,9.98,631219,8.2806,8.1704,122.86,20.98,12.5
33968000,AREX_nasdaq,25.76,22.24,34.84,626433,25.464,25.1709,78.06,34.81,13.4
28840000,APRI_nasdaq,2.26,2.23,3.51,548608,2.6657,2.5915,N/A,N/A,3
0,AQU_nasdaq,9.9,7,10,138,9.904,9.6723,N/A,N/A,2.8
0,AQUUU_nasdaq,10.161,9.5,10.18,369,10.1306,10.0711,N/A,N/A,N/A
0,AQUUW_nasdaq,0.24,0,0,0,0,0,N/A,N/A,N/A
4483000,ARCW_nasdaq,5.2999,3.31,8.57,1027,5.2203,5.483,N/A,N/A,0.6
2144000,ABIO_nasdaq,1.29,1.13,5.94,270889,1.7094,2.394,N/A,N/A,0.4
117192000,ACGL_nasdaq,51.29,38.07,54.64,545155,51.8209,49.7273,14.74,15.26,7.2
12923000,ACAT_nasdaq,47.29,32.12,48.86,147370,46.6497,41.24,14.6,13.1,6.7
1197000,ARDNA_nasdaq,110.77,82.6,113.9,1797,106.909,98.949,N/A,N/A,11.2
216490000,ARNA_nasdaq,7.41,7.11,12.07,5629800,8.1774,8.4272,N/A,N/A,10.9
0,ARCC_nasdaq,17.25,15.9,18.67,2328120,17.2054,17.6996,10.78,10.39,N/A
26612000,AGII_nasdaq,43.22,0,0,0,0,0,14.96,12.94,5.5
0,AGIIL_nasdaq,24.71,22.01,26,20530,24.7009,25.0189,N/A,N/A,N/A
178701000,ARIA_nasdaq,19.41,15.35,25.4,2840250,17.9443,19.0574,N/A,N/A,4.5
1805000,ARKR_nasdaq,20.71,14,22,6786,21.3309,20.0996,N/A,N/A,0.5
24049000,ABFS_nasdaq,22.49,6.43,23.62,583995,19.294,13.2796,118.37,17.17,3.5
463914000,ARMH_nasdaq,36.41,21.64,50.56,2449370,41.4449,41.9939,37.93,30.6,2
12124000,ARTX_nasdaq,1.5901,0.71,1.93,57077,1.4337,1.1818,N/A,N/A,0.6
54764000,ARQL_nasdaq,2.49,1.98,6.98,315280,2.5326,2.6577,N/A,N/A,9.2
90358000,ARRY_nasdaq,4.99,3.25,6.56,1533240,5.2123,4.6778,N/A,N/A,4.4
114321000,ARRS_nasdaq,14.53,11.8,17.98,1425630,14.9894,16.133,10.76,7.49,3.6
11649000,AROW_nasdaq,25.26,22.86,25.68,21209,24.8543,24.6059,15.13,14.77,51.5
19084000,ARWR_nasdaq,2.01,1.65,3.94,85677,2.0894,2.0749,N/A,N/A,6.2
7767000,ARTNA_nasdaq,22.11,19.78,24.43,15327,22.1443,22.3265,20.66,17.83,10.3
25518000,ARTC_nasdaq,35.04,27.21,36.99,114412,34.6051,34.9935,24.33,22.9,5.7
2248000,ARTW_nasdaq,7.44,5.23,8.8,9738,7.5874,6.7562,N/A,N/A,0.2
108802000,ARUN_nasdaq,15.51,12.37,26.78,4127240,14.6406,20.6231,25.02,22.81,1.9
3017000,ASBB_nasdaq,16.5,13.56,17,3439,16.4209,16.3943,N/A,N/A,0.7
126243000,ASNA_nasdaq,17.98,15.95,22.18,1282030,18.6637,18.1507,16.05,12.84,4.7
12849000,ASCMA_nasdaq,80.89,48.01,81.26,37361,74.9617,68.7165,735.36,179.76,7.3
34404000,ASTI_nasdaq,0.88,0.49,2.31,613609,0.7731,0.6689,N/A,N/A,2
20845000,AERL_nasdaq,4.03,2.1371,4.6126,315250,3.8084,3.6672,3.47,2.88,2.9
3347000,APWC_nasdaq,3.35,2.56,4.5,6231,4.0428,3.7643,N/A,N/A,0.4
51171000,ASIA_nasdaq,11.6,9.75,12.73,285489,11.5831,11.3105,10,10.18,2
50765000,ASMI_nasdaq,34.1,30.54,40.96,8583,34.3434,35.814,11.84,11.92,5.7
330205000,ASML_nasdaq,78.58,60.9,84.58,1755020,79.4791,72.6358,26.11,18.53,1.5
92927000,AZPN_nasdaq,29.29,22.01,32.98,625469,29.8946,29.8706,69.74,47.24,4.9
N/A,AACC_nasdaq,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
165749000,ASBC_nasdaq,16.15,12,16.38,948341,15.3737,14.5787,15.68,15.38,8.7
0,ASBCW_nasdaq,1.77,0.9,2.57,1870,1.562,1.4602,N/A,N/A,N/A
8953000,ASFI_nasdaq,8.95,7.95,10.49,51217,8.8897,9.3313,N/A,N/A,13.3
1418000,ATEA_nasdaq,2,1.92,4.99,5550,2.2706,2.7369,N/A,N/A,1.1
18750000,ASTE_nasdaq,35.35,26.09,36.99,71645,34.7266,34.5529,18.13,15.44,8.2
88834000,ASTX_nasdaq,4.56,2.01,6.95,1659580,4.7651,4.3472,N/A,N/A,3.6
4937000,ALOT_nasdaq,11.04,7.5,11.25,8489,10.7686,10.2746,N/A,N/A,0.3
12558000,ATRO_nasdaq,40.59,19.25,41.31,77352,37.622,29.2978,20,16.17,3.3
14370000,ASTC_nasdaq,0.6999,0.66,1.29,21691,0.7546,0.8147,N/A,N/A,N/A
3517000,ASUR_nasdaq,5.79,4.51,8,10866,5.8711,6.0982,N/A,41.36,0.6
7880000,ATAI_nasdaq,4.9,3.5,6.99,6773,4.3357,4.5566,19.6,14.41,0.1
36112000,ATHN_nasdaq,84.53,56.33,99.79,388209,86.6026,88.4816,76.85,56.73,23.5
1334000,AFCB_nasdaq,17.94,14.13,19.35,2025,17.8754,17.8882,N/A,N/A,0.5
48764000,ATHX_nasdaq,1.69,0.95,2.42,669812,1.704,1.6211,N/A,N/A,2.4
6893000,AAME_nasdaq,3.8672,2.51,4.19,10225,3.864,3.456,N/A,N/A,0.1
1489000,ACFC_nasdaq,4.8799,1.37,6.88,10525,5.06,4.1415,N/A,N/A,0.9
9594000,ATNI_nasdaq,50.18,33.26,51.86,40414,49.9354,46.0203,19.3,40.8,6.2
5934000,ATLC_nasdaq,3.51,3.02,7.35,7134,3.6951,3.5653,N/A,N/A,201.6
25323000,AAWW_nasdaq,42.76,36.61,57,277958,45.4197,43.9285,8.87,7.72,6.2
6270000,AFH_nasdaq,8.61,5.8,9.45,33347,8.0609,7.0315,12.85,9.57,0.2
410512000,ATML_nasdaq,7.48,4.37,8.4,6248290,7.566,6.8787,23.38,12.68,2.7
31194000,ATMI_nasdaq,24.14,17.59,24.71,146897,23.8583,22.1284,16.65,14.72,5
9651000,ATOS_nasdaq,5.14,3.44,12.4,124955,5.0014,6.1304,N/A,19.04,0.4
19115000,ATRC_nasdaq,9.72,5.9,9.98,70609,9.2083,8.3105,N/A,N/A,8.7
